,,,,,,
Acronym or term,Definition,Extended definition,Full Definition,BMT,B@W ,B4A
529,,A tax-advantaged investment account for higher education expenses,https://www.investopedia.com/terms/1/529plan.asp,,𐄂,
401(a)30,,"A plan-level contribution limit on deferrals in a calendar year. In 2020, that limit is $19,500 for people under age 50. The limit is $26,000 for people aged 50 and over. Plans are responsible for limiting this for their participants.",,,𐄂,
402(g),,"An individual contribution limit on deferrals for a calendar year. In 2020, that limit is $19,500 for people under age 50. The limit is $26,000 for people aged 50 and over. Each individual participant is responsible for monitoring this herself.",,,𐄂,
403(b) Plan,,"Similar to a 401(k) but for employees of public schools, tax-exempt organizations and certain ministers",,,𐄂,
ACATS,Automated Customer Account Transfer Service,"System that facilitates the transfer of securities from one trading account to another at a different brokerage firm or bank. Transfer of the actual security to preserve the underlying tax basis, not cash",https://www.investopedia.com/terms/a/acat.asp,,,
Accredited investor,,"An accredited investor is an individual or a business entity that is allowed to trade securities that may not be registered with financial authorities. They are entitled to this privileged access by satisfying at least one requirement regarding their income, net worth, asset size, governance status, or professional experience.",https://www.investopedia.com/terms/a/accreditedinvestor.asp,,,
ACH,Automated Clearing House,"A computer-based electronic network for processing transactions, usually domestic low value payments, between participating financial institutions",https://www.investopedia.com/terms/a/ach.asp,,,
ACMP,Automated Custom Model Portfolios,,,𐄂,,𐄂
ACP,Actual Contribution Percentage test,The Actual Deferral Percentage (ADP) and Actual Contribution Percentage (ACP) tests are two tests that companies must conduct to ensure that their 401(k) plans don't unfairly benefit highly-paid employees at the expense of others.,https://www.investopedia.com/terms/a/actual-deferral-percentage-actual-contribution-percentage.asp,,,
ADP,,A payroll provider with whom B@W developed direct API connectivity in 2018,,,𐄂,
ADP,Actual Deferral Percentage,The Actual Deferral Percentage (ADP) and Actual Contribution Percentage (ACP) tests are two tests that companies must conduct to ensure that their 401(k) plans don't unfairly benefit highly-paid employees at the expense of others.,https://www.investopedia.com/terms/a/actual-deferral-percentage-actual-contribution-percentage.asp,,𐄂,
ADR,Average Deferral Rate,A crucial data point used in ADP testing,,,,
ADR,Architecture Decision Record,Document that captures an important architecture decision made along with its context and consequences.,,,,
Advised Client,,The client of a human advisor who uses Betterment ,,𐄂,,𐄂
Alts,Alternative investments,"A financial asset outside of the conventional stocks, bonds, and cash categories. Some examples of Alts are: Private equity or venture capital, hedge funds, real property, commodities, and tangible assets.",https://www.investopedia.com/terms/a/alternative_investment.asp,,,
APY,Annual Percentage Yield,The effective rate of return on an investment for one year taking into account the effect of compounding interest,https://www.investopedia.com/terms/a/apy.asp,,,
AUM,Assets under management,,https://www.investopedia.com/terms/a/aum.asp,,,
B2B,Business-to-business,,,,𐄂,𐄂
B4A,Betterment for Advisors ,,https://www.betterment.com/advisors,𐄂,,𐄂
BaW,Betterment at Work,New name as of 2022 for what was previously called Betterment for Business (B4B),,𐄂,𐄂,
B4B,Betterment for Business,Previous name for Betterment at Work (B@W),https://www.betterment.com/401k,𐄂,𐄂,
B4C or Retail,Betterment for Consumers,,,𐄂,,
BIY,Buy it yourself,B@W website experience allowing 401k prospects to purchase a 401k plan from our website,https://401k.betterment.com/get_started,𐄂,𐄂,
BMT or BTMT ,Betterment,,,𐄂,,
BPS,Basis points,"Refers to a common unit of measure for interest rates and other percentages in finance. Pronounced as “bips”, represents 0.01%. For example, the Betterment fee is 25 bps or 0.25%",https://www.investopedia.com/terms/b/basispoint.asp,,,
Brochure,,Betterment.com. Brochure is the old name for our marketing website(s) which we now refer to as 'the website',,𐄂,,
Clinic,,"Customer servicing tool used by B@W Operations. Repository for plan details, plan configurations, and plan documents.",,𐄂,𐄂,
Constructive Receipt,,"A payroll term of art, broadly meaning your paycheck (less all deferrals, taxes, and other withholdings).",https://www.investopedia.com/terms/c/constructive-receipt.asp,,𐄂,
CMA,Capital Markets Assumption,,,,,
CPA/CAC,Cost Per Acquisition/Customer Acquisition Cost,,https://www.investopedia.com/terms/c/costofacquisition.asp,,,
CRM,Customer Relationship Management,"The combination of practices, strategies and technologies that companies use to manage and analyze customer interactions and data throughout the customer lifecycle. The goal is to improve customer service relationships and assist in customer retention and drive sales growth.",https://www.investopedia.com/terms/c/customer_relation_management.asp,,,
CX,Customer Experience,Often in reference to our internal team of agents who support prospect and customer inquiries via phone and email,,,,
DC,Defined Contribution plan,"A type of retirement plan where the employee or employer makes contributions directly (e.g., a 401(k) plan). This is different than a Defined Benefit plan where the employee is guaranteed a specific distribution value (e.g., pension)",https://www.investopedia.com/terms/d/definedcontributionplan.asp,,𐄂,
Deferral,,"401(k) jargon for the contribution a participant makes, because the participant is deferring their receipt of the actual money by putting it into tax-advantaged savings.",,,𐄂,
DEIB,"Diversity, Equity, Inclusion & Belonging",,,,,
Distributions,,"Blanket term for any withdrawal from a 401(k). Can include: hardship, loans, residential loans, RMD’s, QDRO’s",,,𐄂,
Doctor/Dr,,Internal customer servicing tool used by CX & Operations,,𐄂,𐄂,
DOH,Date of hire,An important detail for determining plan eligibility and vesting schedule,,,𐄂,
DOL,Department of Labor,US agency that has advanced (and backtracked) on the fiduciary rule on retirement accounts,,,𐄂,
DOT,Date of termination,,,,𐄂,
EE,B@W shorthand for “employee”,,,𐄂,𐄂,
EIN,Employer identification number,A unique nine-digit number that is assigned to a business entity. Allows the IRS to easily identify businesses for tax reporting purposes.,https://www.investopedia.com/terms/e/employer-identification-number.asp,,𐄂,
ER,B@W shorthand for “employer”,,,𐄂,𐄂,
ERISA,Employee Retirement Income Security Act,"Law that governs retirement plans. There are several sections & titles to it. Basically, there are sets of rules put out to protect participants, benefits, and their rights in the plans. Dept of Labor (DOL) cares about rights to get benefits, making sure the benefits don’t disappear, and that employees have the ability to get those benefits. IRS stuff also falls under ERISA rules.",https://www.investopedia.com/terms/e/erisa.asp,,𐄂,
ERSG,Employee Resource Strategy Group,Employee Resource Strategy Group,https://betterconfluence.atlassian.net/wiki/spaces/PEOP/pages/2251882710/Employee+Resource+Strategy+Groups+ERSGs,𐄂,,
ESG,"Environmental, Social, and Governance",ESG criteria are a set of standards for a company’s operations that socially conscious investors use to screen potential investments.,https://www.investopedia.com/terms/e/environmental-social-and-governance-esg-criteria.asp,,,
ETF,Exchange traded fund,"An ETF is a security that usually tracks an index, a commodity, or a basket of assets—much like an index fund—but trades like a stock on an exchange. Betterment uses ETFs in both our stock and bond portfolios because of the liquidity, diversification, and low management fees.",https://www.investopedia.com/terms/e/etf.asp,,,
